2018-04-05 21:37:59 WARNING (MainThread) [homeassistant.components.binary_sensor] Setup of platform ping is taking over 10 seconds.
2018-04-05 21:39:06 ERROR (SyncWorker_3) [homeassistant.core] Error doing job: Task was destroyed but it is pending!
2018-04-05 21:39:38 ERROR (MainThread) [homeassistant.core] Timer got out of sync. Resetting
2018-04-05 21:39:45 ERROR (MainThread) [homeassistant.core] Timer got out of sync. Resetting
2018-04-05 21:42:34 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:34 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:34 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:42:35 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
2018-04-05 21:43:12 ERROR (MainThread) [frontend.js.latest.201803300] https://fris.duckdns.org:8123/frontend_latest/core-9177372ed2a6f748e8c0527a44e6e8cc.js:1:6978 Uncaught TypeError: Cannot read property 'attributes' of undefined
